id,title,description,category_label,is_synthetic,difficulty
114,RDC decision,Kindly check the status of my case submitted for committee review.,RDC,True,hard
97,RAC related grievance,RAC process mein delay ki wajah se research timeline affect ho rahi hai.,RAC,True,hard
226,Fee receipt problem,Fee jama karne ke baad receipt generate nahi hui.,Fee,True,hard
215,Conversion approval,Part-time conversion ke approval ka wait kar raha hoon.,FT_PT_Conversion,True,hard
58,Supervision record,Mere doctoral record mein supervisor details update nahi hui hain.,Supervisor_Related,True,hard
124,Publication check problem,Mere paper ka verification status portal par update nahi hai.,Publication_Verification,True,hard
107,Proposal committee status,Mera submitted proposal abhi committee action ka wait kar raha hai.,RDC,True,hard
84,Committee meeting pending,Research committee ke saamne meri case review ki date confirm nahi hui.,RAC,True,hard
18,PhD admission query,"Kindly check my doctoral admission request, it is still waiting for action.",PhD_Admission,True,hard
231,Fee amount mismatch,Portal par jo amount hai woh meri actual payment se match nahi karta.,Fee,True,hard
99,Advisory review issue,Concerned committee se meri research review ka update nahi mila.,RAC,True,hard
